scenario,variant,repetition,raw_run,binary_sha256,duration_seconds,overlay_mbps,underlay_mbps,overlay_to_underlay_ratio,ping_p95_ms,utility_last10_mean,residual_loss_ppm_mean,final5_cwnd_kib,final5_pacing_mbps,parity_to_payload_ratio,loss_is_congestion_values,fec_geometry_histogram,force,summary_path
severe-loss,conventional-loss,1,conventional-loss-r1,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,20,2.605079208669825,1.826267120308778,1.4264502600415696,105.0,-5.284082929590863,47459.434782608696,74.6533203125,18.867528,0.44217520422624945,[true],"{""4+2"":1,""4+4"":11,""off"":11}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/conventional-loss-r1/summary.json
severe-loss,conventional-loss,2,conventional-loss-r2,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,20,2.8078802593482233,1.8784834781223991,1.494759092667019,108.0,-7.087125164030118,51761.13043478261,191.11796875,20.639488,1.1016854085875025,[true],"{""4+4"":21,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/conventional-loss-r2/summary.json
severe-loss,classify-only,0,classify-only-r0,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,20,5.634249303058581,1.9317518558550377,2.916652719127185,110.0,-3.5009665856546706,40054.59090909091,1027.0732421875,52.944672,1.1042190103138183,[false],"{""4+4"":19,""off"":3}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/classify-only-r0/summary.json
severe-loss,classify-only,1,classify-only-r1,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,20,6.7193364734125,1.9832426820747426,3.3880555991176817,112.0,-1.761486525764163,30854.375,1150.3052734375,50.096736,0.5269819851030422,[false],"{""4+4"":14,""off"":10}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/classify-only-r1/summary.json
severe-loss,classify-only,2,classify-only-r2,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,20,4.74099654299288,1.670435660778383,2.8381796763029405,108.0,-2.6866370838935145,32729.590909090908,582.7037109375,28.6913584,1.0914690918043546,[false],"{""4+4"":19,""off"":3}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/classify-only-r2/summary.json
severe-loss,full,0,full-host-r0,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,4.578310182791667,1.8265594320032124,2.5065213332645695,109.0,-3.812369460660489,39012.36363636364,785.417578125,35.0406256,1.1392591203596332,[false],"{""4+4"":20,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/full-host-r0/summary.json
severe-loss,full,1,full-host-r1,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,6.159989401780598,1.7739229879954783,3.472523578231176,111.0,-2.543087660363005,33000.86363636364,1032.02578125,51.6643744,1.119688860006803,[false],"{""4+4"":20,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/full-host-r1/summary.json
severe-loss,full,2,full-host-r2,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,3.6533812418604987,1.7211768722587915,2.122606514614604,109.0,-2.5814756931740943,36203.913043478264,720.0126953125,32.687982399999996,1.1085242517750344,[false],"{""4+2"":1,""4+4"":18,""off"":4}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/full-host-r2/summary.json
clean,conventional-loss,0,conventional-loss-r0,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,15,256.32703288867367,282.34742817253067,0.9078426339766161,16.1,4.433473847828565,1301.3333333333333,499.6033203125,0.0,0.0,[true],"{""off"":15}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/conventional-loss-r0/summary.json
clean,classify-only,0,classify-only-r0,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,15,258.61708165070564,282.4195600063922,0.9157194411210478,20.0,4.2151660465591,1082.0625,514.9853515625,0.0,0.0,[false],"{""off"":16}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/classify-only-r0/summary.json
clean,classify-only,1,classify-only-r1,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,15,263.68195335143264,282.37638305910053,0.9337960579240255,52.2,3.379958150330444,884.8666666666667,454.359765625,311.42952,0.0,[false],"{""off"":15}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/classify-only-r1/summary.json
clean,classify-only,2,classify-only-r2,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,15,257.552720012738,282.2586847267364,0.9124704887719679,16.8,4.161360709817576,1076.875,471.07265625,0.0,0.0,[false],"{""off"":16}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/classify-only-r2/summary.json
clean,full,0,full-host-r0,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,15,250.8781116002582,282.4561779003337,0.8882018919366034,18.0,3.99555020741071,1108.7333333333333,518.6392578125,0.0,0.0,[false],"{""off"":15}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/full-host-r0/summary.json
clean,full,1,full-host-r1,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,15,255.38977048287134,282.4894922852603,0.904068213004456,17.7,4.10268043572906,1280.5333333333333,492.04609375,68.078928,0.0,[false],"{""off"":15}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/full-host-r1/summary.json
clean,full,2,full-host-r2,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,15,258.5464760867516,282.4724706525917,0.9152979597956422,16.5,4.086556417903226,978.2666666666667,512.0,0.0,0.0,[false],"{""off"":15}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/clean/full-host-r2/summary.json
shallow-fec,fec-off,0,fec-off-r0,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,82.58387779923434,103.617583547188,0.797006405400539,10.4,4.278709503508155,854.15,130.7853515625,111.37564,0.0,[false],"{""off"":20}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":1,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":16384}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/shallow-fec/fec-off-r0/summary.json
shallow-fec,fec-off,1,fec-off-r1,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,83.99698730703943,103.5972643828833,0.8108031404825176,10.2,4.283760274740578,98.4,131.5595703125,113.364328,0.0,[false],"{""off"":20}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":1,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":16384}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/shallow-fec/fec-off-r1/summary.json
shallow-fec,fec-off,2,fec-off-r2,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,88.86005307606634,103.65932647100593,0.8572316269189821,10.0,4.321023602392877,204.3,121.2814453125,112.274248,0.0,[false],"{""off"":20}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":1,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":16384}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/shallow-fec/fec-off-r2/summary.json
shallow-fec,fec-on,0,fec-on-r0,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,73.87462812034518,103.60952945579508,0.713009976093596,11.5,2.121154819025842,10604.5,118.4767578125,108.100728,0.1722039812917429,[false],"{""8+1"":20}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":1,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""8+1"",""train_target_bytes"":16384}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/shallow-fec/fec-on-r0/summary.json
shallow-fec,fec-on,1,fec-on-r1,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,77.26481602862481,103.61091657508243,0.7457208041648226,9.78,4.138469716506023,321.55,126.744140625,112.294472,0.17208139888149965,[false],"{""8+1"":20}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":1,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""8+1"",""train_target_bytes"":16384}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/shallow-fec/fec-on-r1/summary.json
shallow-fec,fec-on,2,fec-on-r2,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,75.12517359690698,103.61191553100696,0.7250630703224956,12.4,2.6975804727784523,9133.666666666666,121.05234375,127.912936,0.1721746144336231,[false],"{""8+1"":21}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":1,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""8+1"",""train_target_bytes"":16384}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/shallow-fec/fec-on-r2/summary.json
