scenario,baseline,candidate,baseline_n,candidate_n,overlay_mbps_absolute_delta,overlay_mbps_percent_delta,underlay_mbps_absolute_delta,underlay_mbps_percent_delta,overlay_to_underlay_ratio_absolute_delta,overlay_to_underlay_ratio_percent_delta,ping_p95_ms_absolute_delta,ping_p95_ms_percent_delta,utility_last10_mean_absolute_delta,utility_last10_mean_percent_delta,residual_loss_ppm_mean_absolute_delta,residual_loss_ppm_mean_percent_delta,final5_cwnd_kib_absolute_delta,final5_cwnd_kib_percent_delta,final5_pacing_mbps_absolute_delta,final5_pacing_mbps_percent_delta,parity_to_payload_ratio_absolute_delta,parity_to_payload_ratio_percent_delta
cross-highrtt,conventional-loss,classify-only,3,3,5.6951994698397,34.15148741216054,0.15644994234594023,3.0592139509894256,0.98378322476001,30.16932913534278,0.0,0.0,0.3388413154565698,34.49487762238004,-2469.343873517786,-15.365302980368622,981.8492187499999,299.8846291968068,-2.589480000000002,-4.587099407348205,-0.06919167361023354,-23.678342761183558
cross-highrtt,conventional-loss,full,3,3,4.234039944496221,25.389586902584394,0.2606612778161388,5.096956928335716,0.8703125274158148,26.689563746754263,0.0,0.0,0.18513039798688158,18.84672893013399,-1042.90909090909,-6.489421880303192,1353.6296875,413.43694037107167,13.285862400000006,23.535061688504943,0.054034700683757486,18.491418071418586
cross-highrtt,classify-only,full,3,3,-1.4611595253434793,-6.5313480145445695,0.10421133547019856,1.9772545308907041,-0.11347069734419524,-2.6732605996382275,0.0,0.0,-0.15371091746968824,-11.634754400224223,1426.434782608696,10.487284072165615,371.7804687500002,28.396268044196084,15.875342400000008,29.474170600803397,0.12322637429399103,55.252679721890296
severe-loss,conventional-loss,classify-only,3,3,2.826369043710358,100.65846057005388,0.053268377732638594,2.8357118043903062,1.421893626460166,95.12527024827506,2.0,1.85185185185186,2.597445845697348,-49.15603862217325,-14729.843873517788,-31.036703114963082,835.9552734375,437.4027617104946,29.457248,142.72276521588134,-0.010216316783147938,-0.9273352177956662
severe-loss,conventional-loss,full,3,3,1.770429923443444,63.05218741252177,-0.10456049012692081,-5.566218247042142,1.0117622405975506,67.68731132401524,1.0,0.92592592592593,2.7026072364167684,-51.14619267767674,-11255.521739130432,-23.716088888726016,594.299609375,310.9595676753968,14.401137599999998,69.77468433325478,0.018003451419300376,1.634173538014183
severe-loss,classify-only,full,3,3,-1.0559391202669142,-18.74143410185439,-0.1578288678595594,-8.170245437124258,-0.41013138586261544,-14.061714758599997,-1.0,-0.9090909090909038,0.10516139071942021,-3.914238783863533,3474.3221343873556,10.615232387222818,-241.65566406250002,-23.528571686651333,-15.056110400000001,-30.054074580826985,0.028219768202448314,2.585484867537291
clean,classify-only,full,3,3,-3.2273111678343014,-1.2479110611081645,0.0960875934911769,0.03402819756037623,-0.011651228116591805,-1.2723578416472314,-2.3000000000000007,-11.5,-0.07480429191435078,-1.7975921130285788,31.85833333333335,2.9584058812149427,40.92734374999998,8.688117046700272,0.0,,0.0,
shallow-fec,fec-off,fec-on,3,3,-8.871813710132457,-10.562061800743827,-0.006666972105577429,-0.00643420921173643,-0.08574007016002194,-10.574708690570333,1.3000000000000007,12.745098039215685,-1.5861798019621256,-37.027744323488875,8929.366666666667,4370.713003752651,-9.733007812500006,-7.441970905930373,0.02022399999999891,0.018013035366748475,0.1721746144336231,
